,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,Zack Snyder's Justice League,2021,242,8.2,54,246401,
1,Avengers: Endgame,2019,181,8.4,78,850365,858.37
2,Sound of Metal,2019,120,7.8,82,54497,
3,The Trial of the Chicago 7,2020,129,7.8,76,124229,
4,Minari,2020,115,7.6,89,26144,
5,Soul,2020,100,8.1,83,216476,
6,Sleepers,1996,147,7.6,49,191087,49.1
7,Another Round,2020,117,7.8,80,55740,
8,Knives Out,2019,130,7.9,82,477265,165.36
9,The Shawshank Redemption,1994,142,9.3,80,2372509,28.34
10,The Dark Knight,2008,152,9,84,2336144,534.86
11,Avengers: Infinity War,2018,149,8.4,68,861180,678.82
12,The Godfather,1972,175,9.2,100,1642973,134.97
13,Once Upon a Time... In Hollywood,2019,161,7.6,83,569856,142.5
14,The Gentlemen,2019,113,7.8,51,254827,
15,Parasite,2019,132,8.6,96,586038,53.37
16,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,668169,317.58
17,Joker,2019,122,8.4,59,975695,335.45
18,The Sound of Music,1965,172,8,63,209243,163.21
19,Guardians of the Galaxy,2014,121,8,76,1055957,333.18
20,Blade Runner 2049,2017,164,8,81,472095,92.05
21,Watchmen,2009,162,7.6,56,509687,107.51
22,Pulp Fiction,1994,154,8.9,94,1848538,107.93
23,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1680806,315.54
24,Captain America: Civil War,2016,147,7.8,75,676457,408.08
25,The Wolf of Wall Street,2013,180,8.2,75,1210161,116.9
26,Thor: Ragnarok,2017,130,7.9,74,603498,315.06
27,Deadpool 2,2018,119,7.7,66,490044,324.59
28,Interstellar,2014,169,8.6,74,1539770,188.02
29,Almost Famous,2000,122,7.9,90,255211,32.53
30,Inception,2010,148,8.8,74,2095385,292.58
31,The Ten Commandments,1956,220,7.9,-,64698,93.74
32,Captain America: The Winter Soldier,2014,136,7.7,70,747554,259.77
33,Ben-Hur,1959,212,8.1,90,221633,74.7
34,Titanic,1997,194,7.8,75,1057960,659.33
35,Inglourious Basterds,2009,153,8.3,69,1285964,120.54
36,Gone Girl,2014,149,8.1,79,874033,167.77
37,Jojo Rabbit,2019,108,7.9,58,311254,0.35
38,Back to the Future,1985,116,8.5,87,1072227,210.61
39,The Silence of the Lambs,1991,118,8.6,85,1287916,130.74
40,Captain Fantastic,2016,118,7.9,72,194682,5.88
41,Jurassic Park,1993,127,8.1,68,877718,402.45
42,The Avengers,2012,143,8,69,1273726,623.28
43,Mad Max: Fury Road,2015,120,8.1,90,893839,154.06
44,The Matrix,1999,136,8.7,73,1697108,171.48
45,1917,2019,119,8.3,78,448481,159.23
46,Heat,1995,170,8.2,76,585115,67.44
47,The Departed,2006,151,8.5,85,1204145,132.38
48,The Dark Knight Rises,2012,164,8.4,78,1533684,448.14
49,Schindler's List,1993,195,8.9,94,1226944,96.9
